Name,Time,Content,Repost,Comment,Like
清华常江,11-02,感谢我的老师（同时也是我的同事）金兼斌教授对我做的专访——《米兔运动、介入式文化研究与知识分子的社会责任》。算是给今年夏天我们共同经历的一切留下一些记录吧。#I’ll be your voice#,795,79,690
方可成,09-10,"美国米兔运动新进展：今年7月，《纽约客》发表Ronan Farrow撰写的报道，披露：六名女性指控CBS总裁兼CEO Les Moonves性骚扰。
 
 周日（9月9日）早上，Ronan Farrow在《纽约客》再次发布跟进报道，披露了另外六名女性的指控。
 
 几小时后，CBS宣布：Les Moonves即刻下台。CBS以及Les Moonves本人将向米兔 ...全文",31,8,88
傲慢的香菇妖,42分钟前,米兔运动，与其站在传统文化中女性立场，比如女德，所谓单纯善良自尊心等，不如借此机会来捍卫女性独立思想的重要性，面对熟人侵犯时的坚决性。这跟完美受害者没有任何关系。没人要求必须完美，但是希望妇女儿童们明白这些社会交往的能力。你在这样的社会中长大，不可能一无所知，但是出了事拿单纯善良 ...全文,0,0,0
白熊艾维,7小时前,"。虽然并不是不能理解他们的脑回路
 但是每次看到那些说“tg是先锋党”或者“（中国的）米兔是保守主义运动”的人
 都有种我们不是在讲同一种语言的感觉
 可能文化人生活的世界就是不一样吧",0,0,1
连峰盈尺,17小时前,与米兔运动结合起来看。,0,0,0
英国·伦敦,昨天 06:40,@StephanieYR: 夺回house正常，而让我开心感到希望的是，众议员将有超过100位女议员❤️ 英国·伦敦,0,0,3
斋多士,11-05,大概十年前看了翡翠台播的《盖世豪侠》，周星驰对蓝洁瑛全程痴呆脸，根本不用靠演的；吴镇宇感觉像是不敢看蓝洁瑛的眼睛..而.现实里罗也是替代品这不难推测。蓝真的让人很痛心...也再次告诉大家“米兔”运动的重要性。很多时候性不是最主要的原因，那些有权势的人觉得自己可以凌驾于一切，不把人当人！,0,1,2
火法鹅,11-05,@上善若水ZF: 现在的人真是难将就啊，人家走了电视台重播她的电视，然后一大堆人喷生前干什么去了，这就是蹭热度蹭收视吧啦吧啦的，？？恩？？tbb的收视又不是内地的，蹭你哪门子收视了，况且如果不重播到时候还不是一堆人又喷tbb无情。最重要的是，姐姐在生的时候，不也没见这些喷子义愤填膺的去帮她什么呢 ...全文,3,3,7
张鹤慈微博,11-05,"是这个理，不管是lgbt平权还是女权运动占主导的依然是中产阶级，不仅好莱坞这样国内也是这样，你看米兔，出来发声引起热议的都是中产阶级，真正受苦的还是沉默的大多数//@0boliboli0:光是在名人圈内，女星支持diversity没毛病，但你本人必须是妆容娇好的标准直女美人形象,懂没?物化女性的基础问题都没",0,0,0
刘强东案更多细节曝光 受害女生:我再三恳求他别这样,11-05,"@二手尴尬: iD那个Timothee Chalamet和Harry Styles的采访真的蛮好笑的 倒不是说明星本人怎么样 而是说中产白男只要讲几句平权就被捧成新世纪最佳heartthrob 他们两个如此 Troye Sivan也如此
 真正在struggle的minority你却很少能在媒体上见到 我求求好莱坞的恶臭大佬别再讲diversity了 装个几把",4,0,17
